Date,ID,Days until next hedge,S,Dividend,C_BS,D_BS,C_mkt,D_Blm,R,TTM,Moneyness,D_Optimal,Target
2024-09-12,4,1,5595.76,1.3736,89.25543494,0.295021144,98.2,0.312,4.84198,190,-404.24,0.341117687,0.046096543
2024-10-22,2,1,5851.2,1.3109,293.4130134,0.610184116,303.25,0.627,4.7952,150,51.2,0.480660491,-0.129523625
2024-10-01,8,1,5708.75,1.3433,132.6757141,0.461645078,140.6,0.48,4.60149,80,-91.25,4.65615862,4.194513543
2024-08-23,9,3,5634.61,1.3637,67.95215161,0.305034126,82.2,0.332,4.93002,119,-265.39,0.510882675,0.205848548
2024-11-22,6,3,5969.34,1.2949,96.21106434,0.359746177,102.4,0.378,4.77997,119,-230.66,0.201232725,-0.158513452
2024-10-22,5,1,5851.2,1.3109,120.6008564,0.381125267,126.3,0.399,4.7952,150,-248.8,0.288951971,-0.092173295
2024-10-01,9,1,5708.75,1.3433,67.59682028,0.331197131,89.8,0.372,4.60149,80,-191.25,2.672979949,2.341782817
2024-08-27,2,1,5625.8,1.3662,190.0233295,0.47305707,205.5,0.495,4.92021,206,-174.2,0.660669655,0.187612586
2024-08-13,8,1,5434.43,1.4134,59.10563008,0.251620479,64.4,0.267,4.93515,129,-365.57,0.007292613,-0.244327867
2024-08-27,11,1,5625.8,1.3662,22.64439446,0.133631126,26.05,0.149,4.92021,115,-474.2,0.171448949,0.037817823
2024-11-01,11,3,5728.8,1.3364,15.48157216,0.11726461,16.15,0.121,4.75678,49,-371.2,0.167289485,0.050024875
2024-09-24,1,1,5732.93,1.336,300.0883814,0.599176023,313.7,0.614,4.61941,178,32.93,0.312515897,-0.286660126
2024-11-13,9,1,5985.38,1.2904,144.7507847,0.70362371,166.75,0.696,4.73383,37,85.38,0.930799075,0.227175365
2024-10-24,2,1,5809.86,1.3193,269.7100308,0.580329747,283.6,0.602,4.77971,148,9.86,1.692366798,1.112037051
2024-09-20,4,1,5702.55,1.3484,122.4167004,0.365598522,127.5,0.38,4.66994,182,-297.45,0.294140981,-0.071457541
2024-09-06,9,1,5408.42,1.4211,23.35895373,0.131717957,28.75,0.154,4.84393,105,-491.58,0.151401078,0.019683121
2024-09-04,12,1,5520.07,1.3929,7.061887017,0.049667641,8.4,0.055,4.89094,107,-679.93,0.056312931,0.00664529
2024-11-21,7,1,5948.71,1.2982,291.2667899,0.828809775,292.65,0.837,4.77303,29,248.71,0.74935014,-0.079459635
2024-11-04,2,1,5712.69,1.3391,204.3737377,0.505731831,218.05,0.523,4.74185,137,-87.31,0.516047961,0.010316131
2024-11-05,5,1,5782.76,1.3243,87.8798822,0.313658223,96.65,0.332,4.75145,136,-317.24,0.373464162,0.059805939
2024-09-11,4,1,5554.13,1.3846,78.20765368,0.268179805,86.25,0.288,4.86546,191,-445.87,0.288523758,0.020343953
2024-10-29,5,1,5832.92,1.3131,112.015408,0.362789027,121.7,0.388,4.76552,143,-267.08,0.488202333,0.125413307
2024-11-21,3,1,5948.71,1.2982,258.7721365,0.606359762,268.75,0.628,4.77303,120,48.71,0.487322477,-0.119037285
2024-09-04,5,1,5520.07,1.3929,50.49277325,0.192888368,56.95,0.207,4.89094,198,-579.93,0.299347686,0.106459318
2024-10-09,4,1,5792.04,1.3255,160.8723944,0.430305007,167.7,0.444,4.78852,163,-207.96,0.217214911,-0.213090096
2024-08-26,4,1,5616.84,1.3683,99.72524699,0.318632365,109.3,0.338,4.93872,207,-383.16,0.268598877,-0.050033487
2024-10-24,4,1,5809.86,1.3193,150.8522537,0.430540764,161,0.453,4.77971,148,-190.14,1.153886453,0.723345689
2024-10-16,7,1,5842.47,1.3144,265.334686,0.679978385,270.5,0.687,4.76916,65,142.47,1.941582093,1.261603708
2024-10-03,7,1,5699.94,1.3476,190.1618086,0.550263102,195.55,0.563,4.61384,78,-0.06,0.540087544,-0.010175558
2024-11-22,10,3,5969.34,1.2949,68.68551799,0.475169587,26.95,0.481,4.77997,28,-30.66,0.137988154,-0.337181433
2024-10-09,10,1,5792.04,1.3255,67.79719062,0.320755319,39,0.328,4.78852,72,-207.96,0.110656653,-0.210098666
2024-10-11,8,3,5815.03,1.3204,183.2642193,0.566294594,183.95,0.572,4.78128,70,15.03,0.769507787,0.203213193
2024-08-16,4,3,5554.25,1.3829,85.59836588,0.283638353,96.5,0.306,4.99486,217,-445.75,0.243616381,-0.040021972
2024-09-03,4,1,5528.93,1.3905,75.76391543,0.25972468,84.45,0.282,4.95311,199,-471.07,0.060637546,-0.199087135
2024-09-06,12,1,5408.42,1.4211,4.555310125,0.032570659,5.05,0.037,4.84393,105,-791.58,0.017623406,-0.014947254
2024-10-08,11,1,5751.13,1.3351,28.72914295,0.175207923,31.5,0.185,4.77619,73,-348.87,0.184283596,0.009075674
2024-08-05,8,1,5186.33,1.4816,47.41139024,0.175672265,58.3,0.201,4.95853,137,-613.67,-0.315028041,-0.490700306
2024-08-13,4,1,5434.43,1.4134,59.21715124,0.213932313,66.05,0.231,4.93515,220,-565.57,0.048617417,-0.165314896
2024-10-04,6,1,5751.07,1.3361,68.55321284,0.249449455,72.3,0.261,4.75321,168,-448.93,0.149082468,-0.100366987
2024-11-04,8,1,5712.69,1.3391,97.7263948,0.432127127,105.25,0.442,4.74185,46,-87.31,0.468093435,0.035966308
2024-08-30,10,3,5648.4,1.3606,41.50262606,0.217066431,24.7,0.225,4.96967,112,-351.6,0.080357559,-0.136708871
2024-11-08,2,3,5995.54,1.2888,372.341309,0.704626212,385.1,0.723,4.76595,133,195.54,0.483155455,-0.221470756
2024-09-06,8,1,5408.42,1.4211,47.93993389,0.217520845,50.3,0.23,4.84393,105,-391.58,0.240319171,0.022798326
2024-08-23,7,3,5634.61,1.3637,171.6197593,0.513450339,179.85,0.527,4.93002,119,-65.39,0.766324012,0.252873673
2024-09-18,6,1,5618.26,1.3686,42.14371071,0.173523047,51.5,0.197,4.73875,184,-581.74,0.156043508,-0.017479539
2024-08-14,9,1,5455.21,1.408,30.00585452,0.163578473,38.8,0.194,4.94858,128,-444.79,0.231217369,0.067638895
2024-08-09,2,3,5344.16,1.4383,97.16023748,0.294443285,106.35,0.312,4.97276,224,-455.84,3.111330307,2.816887022
2024-10-21,8,1,5853.98,1.311,187.1609674,0.608551978,197,0.619,4.79913,60,53.98,3.093481494,2.484929516
2024-10-14,12,1,5859.85,1.3103,27.13655939,0.171694349,31.6,0.186,4.78585,67,-340.15,0.194201821,0.022507472
2024-09-26,7,1,5745.37,1.3329,209.8458044,0.598339986,220.95,0.614,4.6145,85,45.37,0.533096409,-0.065243577
2024-11-08,1,3,5995.54,1.2888,451.9495406,0.755043683,465.9,0.772,4.76595,133,295.54,0.521807892,-0.233235791
2024-09-09,7,3,5471.05,1.4044,92.04307476,0.349211983,103.5,0.37,4.85278,102,-228.95,0.167815588,-0.181396395
2024-11-27,9,2,5998.74,1.2879,128.911841,0.786703569,145,0.742,4.72437,23,98.74,0.815913362,0.029209793
2024-08-07,3,1,5199.5,1.4786,52.88192403,0.179840295,57.5,0.198,4.85962,226,-700.5,0.202350406,0.022510112
2024-09-27,1,1,5738.17,1.335,312.3631234,0.598469796,321.65,0.611,4.59072,175,38.17,0.336110196,-0.262359601
